Achebe
Ademola
Adeoye
Adesida
Adesina
Adeyemi
Aguda
Akenzua
Akerele
Akiloye
Akinjide
Akintola
Akinyemi
Akpabio
Akunyili
Alakija
Alamieyeseigha
Amaechi
Anenih
Anikulapo-Kuti
Asari-Dokubo
Attah
Awolowo
Ayim
Azikiwe
Babangida
Balogun
Bamgboshe
Bankole
Bello
Boro
Buhari
Chukwumereije
Danjuma
Dimka
Diya
Effiong
Egwu
Ekwensi
Eze
Ezekwesili
Fagbure
Falana
Gbadamosi
Gowon
Ibori
Igbinedion
Igwe
Ironsi
Iweala
Iwu
Jaja
Jakande
Jang
Jomo-Gbomo
Kalejaiye
Kalu
Madaki
Magoro
Mbadinuju
Mbanefo
Ngige
Nnamani
Nzeogwu
Obasanjo
Obi
Odili
Ohakim
Ojukwu
Okadigbo
Okafor
Okar
Okeke
Okereke
Okilo
Okiro
Okonjo
Okonkwo
Okorie
Okotie-Eboh
Okoye
Okpara
Olanrewaju
Omehia
Onobanjo
Onwuatuegwu
Onwudiwe
Onyejekwe
Orji
Oyenusi
Oyinlola
Saro-Wiwa
Sekibo
Solarin
Soyinka
Tinibu
Uba
Yar’Adua
