Acidinus
Acisculus
Agelastus
Albus
Allobrogicus
Ambustus
Antias
Arquetius
Arquitius
Arvina
Asellus
Asiagenus
Asiaticus
Asina
Atticus
Augur
Augustus
Balbus
Barbatus
Blasio
Bucco
Bursio
Buteo
Caecus
Caesar
Calussa
Calvus
Canina
Capitolinus
Cato
Catullus
Caudex
Caudinus
Centho
Cento
Centumalus
Cethegus
Cicero
Cincinnatus
Cinna
Clineas
Clodianus
Corculum
Corvinus
Corvus
Cossus
Crassinus
Crassus
Crus
Cruscellio
Cunctator
Damasippus
Demetrias
Dives
Dolabella
Dorso
Dorsuo
Drusus
Eburnus
Esquilinus
Falco
Falto
Felix
Flaccus
Flamen
Fulvianus
Gaetulicus
Gallus
Geta
Getha
Glaber
Glicia
Glycias
Gurges
Hadrianus
Helenus
Hispallus
Hispaniensis
Hispanus
Hortator
Imbrex
Imperiosus
Inregillensis
Iunianus
Julus
Junianus
Labeo
Lactuca
Lactucinus
Laevinus
Lentinus
Lentulus
Lepidus
Libo
Licinus
Longus
Lucullus
Lupus
Macer
Maluginensis
Mammula
Mancinus
Marcellinus
Marcellus
Maximus
Mento
Merenda
Merula
Messala
Messalla
Mocilla
Mucianus
Murena
Nasica
Nero
Nerva
Niger
Octavianus
Orca
Ovicula
Pictor
Pollio
Ponticus
Poplicola
Potitus
Praeconinus
Priscus
Procillus
Publicola
Pulcher
Regillensis
Rufinus
Rufus
Rullianus
Rullus
Russus
Rutilus
Sabinus
Sacerdos
Salinator
Salutio
Salvitto
Sanga
Scapula
Scipio
Senator
Serapio
Sergianus
Servilianus
Sibylla
Sisenna
Soranus
Spinther
Stolo
Strabo
Sulla
Sura
Sylla
Tappo
Tegula
Torquatus
Triarius
Unimanus
Uritinus
Varus
Vergilianus
Verrucosus
Vestalis
Vibulanus
Virgilianus
Volso
Volusus
Vopiscus
Vulso
