Clopas,"My exchanges",m
Clotho,"Spinner",f
Columba,"Dove",m
Concepta,"Conception",f
Constantina,"Steadfast",f
Consus,"To sow",m
Cora,"Maiden",f
Core,"Maiden",f
Coretta,"Maiden",f
Cornelia,"Of a horn",f
Cornelius,"Horn",m
Cornell,"Of a horn",m
Cosmo,"Order, beauty",m
Crescentius,"To spring up; to grow or thrive",m
Crispinus,"Curly-headed",m
Cronus,"Time",m
Cyprian,"From Cyprus",m
Cyra,"Like the sun",f
Cyrus,"Like the sun",m
Cæcilia,"Blind",f
Cælestinus,"Heavenly",m
Cælestis,"Heavenly",u
Cælinus,"Heaven",m
Daedalus,"Cunning worker",m
Damianus,"To kill",m
Damocles,"Glory of the people",m
Darius,"Possessing of wealth",m
Davena,"Beloved",f
Dea,"Goddess",f
Decebalus,"Ten",m
Decima,"Tenth",f
Decimus,"Tenth",m
Delicius,"Delight",m
Demetra,"Loves the earth",f
Demetrius,"Loves the earth",m
Democritus,"Judge of the people",m
Deodatus,"Given to god",m
Desiderius,"Longing",m
Despoena,"Mistress",f
Deus,"God",m
Deusdedit,"Given to god",m
Diana,"Heavenly",f
Didymus,"Two-fold twain",m
Diodorus,"Gift of Zeus",m
Diomedes,"As cunning as Zeus",m
Dione,"The goddess",f
Discordia,"Strife",f
Domitilla,"Tamed",f
Dorcas,"Gazelle",f
Dorus,"Gift",m
Draco,"Dragon",m
Drusilla,"Oak; strong",f
Drustanus,"Riot tumult",m
Duilius,"War",m
Eduardus,"Guardian of prosperity",m
Efrem,"Double-land; twin-land",m
Egidius,"Kid; young goat",m
Egnatius,"Unknowing",m
Eione,"Beach strand",f
Electra,"Shining bright",f
Eleutherius,"The liberator",m
Eliana,"Sun",f
Elianna,"Sun",f
Elianus,"Sun",m
Eligius,"To choose",m
Emericus,"Work-power",m
Emidius,"Demi-god",m
Emmanuel,"God is with us",m
Ennius,"Predestined",m
Eolus,"Nimble; quick-moving",m
Epictetus,"Newly acquired",m
Erastus,"Beloved",m
Erebus,"Darkness",m
Estella,"Star",f
Euclid,"Good glory",m
Eudocia,"Good-seeming",f
Eunice,"Good victory",f
Euphemia,"Well I speak",f
Euphemius,"Well I speak",m
Europa,"Wide-faced",f
Eurydice,"Wide justice",f
Eusebia,"Pious",f
Eusebius,"Pious",m
Eustachius,"Fruitful",m
Eustorgius,"Content",m
Euthymius,"Good-spirited",m
Eutropia,"Versatile",f
Eutropius,"Versatile",m
Eutychius,"Fortunate",m
Evadne,"Good and holy",f
Evander,"Good man",m
Evangelina,"Good little angel",f
Fabiola,"Little bean",f
Fabius,"Bean",m
Fabricius,"Smith, or a craftsman",m
Fauna,"To favor",f
Faunus,"To favor",m
Felicia,"Happy",f
Felicitas,"Fortune, good luck",f
Felix,"Happy",m
Ferox,"The arrogant one",m
Fidelis,"Faithful",m
Fido,"I trust",m
Filbertus,"Very bright",m
Firminus,"Firm, steadfast",m
Flavia,"Yellow hair",f
Flavian,"Yellow hair",m
Flavius,"Yellow",m
Flora,"Flower",f
Florentia,"Blossoming",f
Florentius,"Blossoming",m
Floretta,"Little flower",f
Florian,"Flower",m
Fortunatus,"Fortunate; happy",m
Franciscus,"French",m
Frederica,"Peaceful ruler",f
Fredericus,"Peaceful ruler",m
Frigidian,"Cold",m
Frithunantus,"Ardent for peace",m
Fulgentius,"Shining",m
Fulvius,"Yellow",m
Gaheris,"Old",m
Gaius,"Lord",m
Galene,"Calm seas",f
Gavius,"Lord",m
Gemini,"Twin",m
Gennadius,"Noble",m
