Bach
Balch
Baughan
Baughn
Beavin
Beddoe
Beddow
Bellin
Belling
Bellis
Bennion
Bethel
Bethell
Bevan
Beynon
Binion
Binnion
Bithell
Biven
Bivin
Blethen
Bliven
Blood
Blower
Bloyd
Boliver
Bonner
Bowell
Breckon
Brice
Broderick
Bryn
Buell
Bugh
Bunner
Caddell
Caddick
Cadigan
Cadogan
Carew
Carey
Cattell
Cecil
Clough
Cloyd
Comey
Conway
Cornog
Coslett
Dacus
Davies
Days
Dee
Dew
Dewey
Dey
Edris
Elijah
Elley
Erwood
Esau
Evan
Evans
Evanson
Eynon
Faughn
Firth
Flint
Flower
Floyd
Gaynor
Geddings
Gethin
Gettings
Gibby
Gittings
Glace
Glas
Glines
Glynn
Goff
Gotch
Gough
Gower
Greenway
Griff
Griffin
Griffith
Griffiths
Guild
Guilliams
Gwilliam
Gwyn
Gwynn
Gwynne
Hanmer
Hargest
Harries
Harvard
Havard
Heaven
Hennion
Hier
Hire
Hovey
Howell
Howells
Hughes
Idle
Jones
Keelan
Kemble
Kendrick
Kerry
Lace
Lewis
Lewison
Llewellyn
Llewelyn
Maddy
Mathias
Meredith
Merrick
Moore
Morris
Morse
Mostyn
Mower
Myricks
Nanney
Nest
Nevitt
Nist
Owen
Owens
Palin
Parry
Pearce
Pembroke
Pendry
Pennoyer
Penry
Perry
Pew
Pewitt
Poovey
Popkin
Povey
Powe
Poyner
Preddy
Preece
Price
Prichard
Prichett
Priddy
Pride
Pritchard
Pritchett
Probert
Prothero
Protheroe
Prothro
Prowell
Pugh
Pumphrey
Pye
Rease
Reece
Rhees
Rhoderick
Rice
Roderick
Rosser
Sayer
Scurlock
Sealy
Seff
Shone
Tew
Trahern
Vaughn
Wiliams
Wren
Wynne
Yale
Yarwood
